# vega universe v1 — built 2026-07-05
# equities: S&P 500 + Nasdaq-100 (Wikipedia constituent snapshot, Yahoo symbol notation)
# etfs: curated liquid list
# filter (equity/etf): median 60-session dollar volume >= $20,000,000
# crypto: CoinGecko top-20 mcap, ex stable/wrapped, Binance USDT pair
symbol,asset_class,name,coingecko_id,binance_symbol
A,equity,"Agilent Technologies",,
AAPL,equity,"Apple Inc.",,
ABBV,equity,"AbbVie",,
ABNB,equity,"Airbnb",,
ABT,equity,"Abbott Laboratories",,
ACGL,equity,"Arch Capital Group",,
ACN,equity,"Accenture",,
ADBE,equity,"Adobe Inc.",,
ADI,equity,"Analog Devices",,
ADM,equity,"Archer Daniels Midland",,
ADP,equity,"Automatic Data Processing",,
ADSK,equity,"Autodesk",,
AEE,equity,"Ameren",,
AEP,equity,"American Electric Power",,
AES,equity,"AES Corporation",,
AFL,equity,"Aflac",,
AIG,equity,"American International Group",,
AIZ,equity,"Assurant",,
AJG,equity,"Arthur J. Gallagher & Co.",,
AKAM,equity,"Akamai Technologies",,
ALAB,equity,"Astera Labs",,
ALB,equity,"Albemarle Corporation",,
ALGN,equity,"Align Technology",,
ALL,equity,"Allstate",,
ALLE,equity,"Allegion",,
ALNY,equity,"Alnylam Pharmaceuticals",,
AMAT,equity,"Applied Materials",,
AMCR,equity,"Amcor",,
AMD,equity,"Advanced Micro Devices",,
AME,equity,"Ametek",,
AMGN,equity,"Amgen",,
AMP,equity,"Ameriprise Financial",,
AMT,equity,"American Tower",,
AMZN,equity,"Amazon",,
ANET,equity,"Arista Networks",,
AON,equity,"Aon plc",,
AOS,equity,"A. O. Smith",,
APA,equity,"APA Corporation",,
APD,equity,"Air Products",,
APH,equity,"Amphenol",,
APO,equity,"Apollo Global Management",,
APP,equity,"AppLovin",,
APTV,equity,"Aptiv",,
ARE,equity,"Alexandria Real Estate Equities",,
ARES,equity,"Ares Management",,
ARM,equity,"Arm Holdings",,
ASML,equity,"ASML Holding",,
ATO,equity,"Atmos Energy",,
AVB,equity,"AvalonBay Communities",,
AVGO,equity,"Broadcom",,
AVY,equity,"Avery Dennison",,
AWK,equity,"American Water Works",,
AXON,equity,"Axon Enterprise",,
AXP,equity,"American Express",,
AZO,equity,"AutoZone",,
BA,equity,"Boeing",,
BAC,equity,"Bank of America",,
BALL,equity,"Ball Corporation",,
BAX,equity,"Baxter International",,
BBY,equity,"Best Buy",,
BDX,equity,"Becton Dickinson",,
BEN,equity,"Franklin Resources",,
BF-B,equity,"Brown–Forman",,
BG,equity,"Bunge Global",,
BIIB,equity,"Biogen",,
BKNG,equity,"Booking Holdings",,
BKR,equity,"Baker Hughes",,
BLDR,equity,"Builders FirstSource",,
BLK,equity,"BlackRock",,
BMY,equity,"Bristol Myers Squibb",,
BNY,equity,"BNY Mellon",,
BR,equity,"Broadridge Financial Solutions",,
BRK-B,equity,"Berkshire Hathaway",,
BRO,equity,"Brown & Brown",,
BSX,equity,"Boston Scientific",,
BX,equity,"Blackstone Inc.",,
BXP,equity,"BXP, Inc.",,
C,equity,"Citigroup",,
CAH,equity,"Cardinal Health",,
CARR,equity,"Carrier Global",,
CASY,equity,"Casey's",,
CAT,equity,"Caterpillar Inc.",,
CB,equity,"Chubb Limited",,
CBOE,equity,"Cboe Global Markets",,
CBRE,equity,"CBRE Group",,
CCEP,equity,"Coca-Cola Europacific Partners",,
CCI,equity,"Crown Castle",,
CCL,equity,"Carnival Corporation",,
CDNS,equity,"Cadence Design Systems",,
CDW,equity,"CDW Corporation",,
CEG,equity,"Constellation Energy",,
CF,equity,"CF Industries",,
CFG,equity,"Citizens Financial Group",,
CHD,equity,"Church & Dwight",,
CHRW,equity,"C.H. Robinson",,
CHTR,equity,"Charter Communications",,
CI,equity,"Cigna",,
CIEN,equity,"Ciena",,
CINF,equity,"Cincinnati Financial",,
CL,equity,"Colgate-Palmolive",,
CLX,equity,"Clorox",,
CMCSA,equity,"Comcast",,
CME,equity,"CME Group",,
CMG,equity,"Chipotle Mexican Grill",,
CMI,equity,"Cummins",,
CMS,equity,"CMS Energy",,
CNC,equity,"Centene Corporation",,
CNP,equity,"CenterPoint Energy",,
COF,equity,"Capital One",,
COHR,equity,"Coherent Corp.",,
COIN,equity,"Coinbase",,
COO,equity,"Cooper Companies (The)",,
COP,equity,"ConocoPhillips",,
COR,equity,"Cencora",,
COST,equity,"Costco",,
CPAY,equity,"Corpay",,
CPRT,equity,"Copart",,
CPT,equity,"Camden Property Trust",,
CRH,equity,"CRH plc",,
CRL,equity,"Charles River Laboratories",,
CRM,equity,"Salesforce",,
CRWD,equity,"CrowdStrike",,
CRWV,equity,"CoreWeave",,
CSCO,equity,"Cisco",,
CSGP,equity,"CoStar Group",,
CSX,equity,"CSX Corporation",,
CTAS,equity,"Cintas",,
CTSH,equity,"Cognizant",,
CTVA,equity,"Corteva",,
CVNA,equity,"Carvana",,
CVS,equity,"CVS Health",,
CVX,equity,"Chevron Corporation",,
D,equity,"Dominion Energy",,
DAL,equity,"Delta Air Lines",,
DASH,equity,"DoorDash",,
DD,equity,"DuPont",,
DDOG,equity,"Datadog",,
DE,equity,"Deere & Company",,
DECK,equity,"Deckers Brands",,
DELL,equity,"Dell Technologies",,
DG,equity,"Dollar General",,
DGX,equity,"Quest Diagnostics",,
DHI,equity,"D. R. Horton",,
DHR,equity,"Danaher Corporation",,
DIS,equity,"Walt Disney Company (The)",,
DLR,equity,"Digital Realty",,
DLTR,equity,"Dollar Tree",,
DOC,equity,"Healthpeak Properties",,
DOV,equity,"Dover Corporation",,
DOW,equity,"Dow Inc.",,
DPZ,equity,"Domino's",,
DRI,equity,"Darden Restaurants",,
DTE,equity,"DTE Energy",,
DUK,equity,"Duke Energy",,
DVA,equity,"DaVita",,
DVN,equity,"Devon Energy",,
DXCM,equity,"DexCom",,
EA,equity,"Electronic Arts",,
EBAY,equity,"eBay Inc.",,
ECHO,equity,"EchoStar",,
ECL,equity,"Ecolab",,
ED,equity,"Consolidated Edison",,
EFX,equity,"Equifax",,
EG,equity,"Everest Group",,
EIX,equity,"Edison International",,
EL,equity,"Estée Lauder Companies (The)",,
ELV,equity,"Elevance Health",,
EME,equity,"Emcor",,
EMR,equity,"Emerson Electric",,
EOG,equity,"EOG Resources",,
EQIX,equity,"Equinix",,
EQR,equity,"Equity Residential",,
EQT,equity,"EQT Corporation",,
ERIE,equity,"Erie Indemnity",,
ES,equity,"Eversource Energy",,
ESS,equity,"Essex Property Trust",,
ETN,equity,"Eaton Corporation",,
ETR,equity,"Entergy",,
EVRG,equity,"Evergy",,
EW,equity,"Edwards Lifesciences",,
EXC,equity,"Exelon",,
EXE,equity,"Expand Energy",,
EXPD,equity,"Expeditors International",,
EXPE,equity,"Expedia Group",,
EXR,equity,"Extra Space Storage",,
F,equity,"Ford Motor Company",,
FANG,equity,"Diamondback Energy",,
FAST,equity,"Fastenal",,
FCX,equity,"Freeport-McMoRan",,
FDS,equity,"FactSet",,
FDX,equity,"FedEx",,
FE,equity,"FirstEnergy",,
FER,equity,"Ferrovial",,
FFIV,equity,"F5, Inc.",,
FICO,equity,"Fair Isaac",,
FIS,equity,"Fidelity National Information Services",,
FISV,equity,"Fiserv",,
FITB,equity,"Fifth Third Bancorp",,
FIX,equity,"Comfort Systems USA",,
FLEX,equity,"Flex Ltd.",,
FOX,equity,"Fox Corporation (Class B)",,
FOXA,equity,"Fox Corporation (Class A)",,
FRT,equity,"Federal Realty Investment Trust",,
FSLR,equity,"First Solar",,
FTNT,equity,"Fortinet",,
FTV,equity,"Fortive",,
